content,creationTime,score,anonymousFlag,plusAvailable,location,nickname,productColor
很好很不错，质感很好，拿来拍照很不错，价格也不贵，还是很不错的，物流很快递，很可以，很不错，还是很好的，很好用  操作容易,2023-09-27 16:15:17,5,1,201,山东,j***d,mini7+白
真的很好看，质感真的很好，第一次买没有踩雷 反应速度非常快成像效果很好 外形是我喜欢的白色很有仪界式感，实物真的超级好00看，比想象中的口好上手很多，,2023-09-22 12:50:55,5,null,201,辽宁,一***豆,mini7+白
整体评价很喜欢，小巧可爱又好看，产品质量还是很不错，操作也很简单，反应速度很快很赞，出片快成像效果赞，效果很nice的！,2023-10-09 16:19:42,5,1,201,山西,j***v,mini7+白
发货速度超快，样机简洁大方，暖白色很好看，非常喜欢，可以美美的拍一拍。还送了配套的附件，装上了颜值又高了一个档次，就相片实在太贵了。而且不好买，这里面也没有相纸，至少得送几张吧,2023-10-08 22:11:38,5,1,201,浙江,黄***果,mini7+白
标题：京东购物体验超赞，拍立得相机让人爱不释手！📸💕正文：1️⃣ 京东物流快速且可靠，收到货后完好无损。🚚📦2️⃣ 拍立得相机操作简单，照片质量优秀，色彩鲜艳。📷🌈3️⃣ 外观设计时尚美观，自用送礼都很适合。👩&zwj;🎨🎁4️⃣ 性价比高，价格合理，品质有保障。💰🔍5️⃣ 客服热情专业，解答疑问迅速准确。❤️🔥6️⃣ 京东购物体验极佳，期待再次购买！👍🏻👍🏻👍🏻,2023-09-25 18:31:18,5,1,201,山东,丧***莓,mini7+蓝
讲真，刚收到打开包装太惊喜，太意外啦!包装很完美，有漂亮的外盒，立马有档次感，第一感觉就很超值。摸在手里很有质感，发货也比较及时，物流还挺快的，隔天就到我这里了。,2023-10-09 16:21:26,5,1,201,山西,j***v,mini7+白
收到货果然没有让我失望，做工质量非常好，快递速度很快，特别是这个可爱的造型，瞬间俘获了老夫的心，好爱好爱，卡哇伊的造型满满的美观感,2023-10-13 01:35:30,5,1,201,江西,j***F,mini7+白
间接性的出现白色相片纸,2021-06-27 20:09:09,3,1,0,null,小***M,【新品上市】mini7+白
买了很多次了，官方正品有保证，没有让我失望，成像效果非常好，特别容易出片，连我这个拍照低能都可以拍出很好看的照片，真是不会拍照人员的福星啊。,2023-10-13 01:38:19,5,1,201,江西,j***F,mini7+白
我给一个大大的赞，快递员送货服务好，在线客服，回复及时，售后服务更是超赞，在这里选购安全方便快捷，宝贝设计非常棒。客服细心回答问题，值送货快 服务好，售后不错，值得购买，非常满意的一次购物，希望卖家生意越来越兴隆。,2023-09-28 15:41:00,5,1,201,江苏,S***e,mini7+白
物流速度很快，快递小哥也很热情！相机成片效果超级棒，浏览无数拍立得相机，为有这款白色最能得我心，简单大气的设计，轻松出片，留下美好的瞬间，让回忆多了一分生动，不再单纯被渐渐模糊的记忆承载～成像效果：超级好超级棒反应速度：反应速度很快操作难易：容易上手，操作简易方便做工质量：品质很好，质量超棒外形外观：白色的简单大气上档次！,2023-10-20 17:52:33,5,1,201,山西,烨***桦,mini7+白
物流及时发货挺快的，拍下没两天就收到啦，包包质量挺不错的，容量挺大的，款式好看。真的是难得的体验，太棒了，拿出去太有面子啦，嘿嘿，女朋友很喜欢。,2023-10-13 01:11:02,5,1,201,江西,j***F,mini7+白
质量非常好，送朋友很喜欢，成像过效果好，反应速度很快，做工质量非常好，外观很好看，特点很多，操作难度很好🇲🇾，反应速度有点快，,2023-09-22 11:57:41,5,null,201,湖北,致***样,mini7+蓝
成像效果很好，反应速度灵敏，操作难度很小，做工质量很好，外观外形很好看，特点很多，相机非常好，就是相纸非常难买，很好。z,2023-10-06 18:12:29,5,1,201,湖北,致***样,mini7+白
反应速度快，方便携带 推荐大家购买新款拍立得 出片也快 还很好使用 小孩子也会玩 送人也有面自留也很喜欢反正就是不二首选 推荐给朋友了,2023-10-20 11:46:14,5,1,201,江苏,牵***6,mini7+蓝
质量非常好，送朋友很喜欢，成像效果很不错，反应速度有点快，操作建议可以接受，做工质量非常好，外观设计风格很好看，送我女友很喜欢。,2023-09-22 16:51:03,5,null,201,湖北,致***样,mini7+白
