index,小区,市区,价格,户型,楼层,面积,朝向,装修,电梯
0,观江国际,道里,550.0,4室2厅1厨2卫,中楼层 ,240.0,南,简装,有
1,滨港水岸C区,道外,43.8,2室1厅1厨1卫,中楼层 ,61.61,西北,简装,有
2,幸福里小区,香坊,58.5,2室1厅1厨1卫,低楼层 ,99.59,南,精装,有
3,学府花园,南岗,26.0,1室1厅1厨1卫,高楼层 ,54.16,东,简装,无
4,锦绣家园中区,松北,60.0,1室1厅1厨1卫,高楼层 ,77.21,南,其他,有
5,世财滨江音乐花园,松北,65.0,2室1厅1厨1卫,低楼层 ,114.0,南,精装,有
6,华远水木清华,松北,85.0,2室1厅1厨1卫,中楼层 ,105.46,东南,精装,有
7,泰海花园小区,南岗,98.0,3室1厅1厨1卫,中楼层 ,98.0,西,简装,未知
8,元和街,南岗,35.8,2室1厅1厨1卫,中楼层 ,60.58,南,简装,无
9,世茂滨江 法兰西,松北,199.0,5室3厅1厨3卫,高楼层 ,275.0,南,精装,无
10,红星花园,南岗,210.0,3室1厅1厨2卫,中楼层 ,149.4,南,其他,未知
11,华润置地紫云府,香坊,145.0,3室2厅1厨1卫,高楼层 ,113.04,南,精装,有
12,清滨路,南岗,97.8,2室1厅1厨1卫,中楼层 ,100.57,南,精装,无
13,安平街,道里,71.8,2室1厅1厨1卫,中楼层 ,105.0,东南,精装,无
14,鲁商凤凰城,南岗,160.0,3室2厅1厨1卫,高楼层 ,112.59,南,简装,有
15,香山小区,香坊,110.0,4室2厅1厨2卫,中楼层 ,169.66,南,简装,无
16,科大安居小区,南岗,59.8,1室1厅1厨1卫,低楼层 ,56.36,南,简装,未知
17,地恒托斯卡纳一期,呼兰区,125.0,4室2厅1厨2卫,低楼层 ,204.0,南,精装,有
18,河松小区三期,道里,175.0,3室2厅1厨2卫,中楼层 ,240.0,东南,简装,无
19,融创城一期,香坊,74.8,2室1厅1厨1卫,中楼层 ,88.0,北 南,精装,未知
20,紫金城,道里,79.9,2室1厅1厨1卫,中楼层 ,91.0,南,简装,有
21,丁香名苑,道里,62.0,2室1厅1厨1卫,低楼层 ,74.0,南,其他,无
22,建安小区,平房,17.0,1室1厅1厨1卫,高楼层 ,44.0,南,其他,无
23,上实盛世江南,道里,118.8,1室1厅1厨1卫,低楼层 ,84.19,西南,精装,有
24,尚熙雅轩,南岗,56.0,1室1厅1厨1卫,低楼层 ,57.41,南,精装,有
25,恒大天地人和,道里,550.0,4室2厅1厨2卫,低楼层 ,186.38,南,其他,未知
26,公滨路,香坊,39.5,2室1厅1厨1卫,低楼层 ,60.08,东,简装,有
27,北安街,道里,28.8,1室1厅1厨1卫,中楼层 ,45.0,南,精装,无
28,枫蓝国际,南岗,53.0,1室1厅1厨1卫,中楼层 ,59.18,西南,简装,有
29,天鹅湾·赫郡,道里,299.8,3室1厅1厨2卫,中楼层 ,206.93,南,精装,有
30,鲁商·松江新城,南岗,113.0,2室1厅1厨1卫,低楼层 ,91.0,南,精装,有
31,新松·茂樾山,香坊,75.0,3室2厅1厨2卫,高楼层 ,108.07,西南,精装,有
32,民益街,南岗,99.0,4室1厅1厨1卫,高楼层 ,159.14,北 南,简装,无
33,涧桥西畔,南岗,142.0,2室2厅1厨1卫,高楼层 ,116.73,南,其他,有
34,中海寰宇天下,道里,235.0,4室2厅1厨2卫,低楼层 ,176.0,南,其他,有
35,江畔方元,道外,55.0,2室1厅1厨1卫,中楼层 ,66.46,南,简装,无
36,天薇丽景园,道里,68.0,2室1厅1厨1卫,中楼层 ,71.47,南,简装,无
37,龙江街,南岗,100.0,2室1厅1厨1卫,高楼层 ,66.0,东,精装,无
