id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,26,27,28,29
1,观江国际,道里,550,22917元/平米,4室2厅1厨2卫,中楼层 (共39层),240㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯两户,有,null,2021-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
2,滨港水岸C区,道外,43.8,7110元/平米,2室1厅1厨1卫,中楼层 (共31层),61.61㎡,暂无数据,暂无数据,板楼,西北,钢混结构,简装,两梯四户,有,null,2023-04-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
3,幸福里小区,香坊,58.5,5875元/平米,2室1厅1厨1卫,低楼层 (共16层),99.59㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,null,2019-05-17,商品房,2018-06-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片
4,学府花园,南岗,26,4801元/平米,1室1厅1厨1卫,高楼层 (共8层),54.16㎡,平层,46㎡,塔楼,东,钢混结构,简装,一梯三户,无,null,2019-10-30,商品房,2020-06-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
5,锦绣家园中区,松北,60,7772元/平米,1室1厅1厨1卫,高楼层 (共26层),77.21㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯三户,有,null,2023-08-06,商品房,2018-07-19,普通住宅,暂无数据,共有,有抵押,已上传房本照片
6,世财滨江音乐花园,松北,65,5702元/平米,2室1厅1厨1卫,低楼层 (共19层),114㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,null,2023-09-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
7,华远水木清华,松北,85,8060元/平米,2室1厅1厨1卫,中楼层 (共28层),105.46㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯三户,有,null,2023-06-04,商品房,2018-06-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
8,泰海花园小区,南岗,98,10000元/平米,3室1厅1厨1卫,中楼层 (共7层),98㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,一梯两户,暂无数据,null,2023-03-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
9,元和街,南岗,35.8,5910元/平米,2室1厅1厨1卫,中楼层 (共7层),60.58㎡,平层,41.87㎡,板楼,南 北,钢混结构,简装,一梯两户,无,null,2023-10-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
10,世茂滨江 法兰西,松北,199,7237元/平米,5室3厅1厨3卫,高楼层 (共6层),275㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,null,2020-06-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押50万元工商银行,未上传房本照片
11,红星花园,南岗,210,14057元/平米,3室1厅1厨2卫,中楼层 (共8层),149.4㎡,平层,暂无数据,暂无数据,南 北,钢混结构,其他,一梯两户,暂无数据,null,2021-06-10,商品房,2017-06-18,普通住宅,暂无数据,非共有,有抵押65万元业主自还,已上传房本照片
12,华润置地紫云府,香坊,145,12828元/平米,3室2厅1厨1卫,高楼层 (共24层),113.04㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,有,null,2023-02-24,商品房,2021-06-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
