Unnamed: 0,名称,评分,地址,评论精选,评论数,热点
0,樱花园,,桂林市象山区中山南路2号,,10.0,
1,爱情岛,3.3,桂林市象山区滨江路1号象山景区内,'1、20230317象山（5A）1、“爱情岛”位于5A景区“两江四湖•象山”。该景物是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象山”（也称“象鼻山”）两大区块，入园均免费，前者适合夜景，后者适合白天游览。入园免费。①地址：桂林市象山区民主路1号。②交通：公交直达，开车很好停。③旺季：无。\t④用时：3小时。2、早上从北门入园，没走几步便到位于“爱情岛”上的“象寨”。象寨以象为主题，中心的白色玉象是象寨标志性景观，颜值很高是拍照点，但是景区里带旅行团的导游不让拍，因为是商业化祈福处，四周挂满了密密麻麻的祈福木牌，反而成为一道靓丽的风景线。白象周围有“神秘象寨”（很有创意的象鼻雕塑，很像保龄球的筒子）和古榕（一棵真榕树和一棵人造榕树想拥，挺壮观）。附近还有各种小雕塑、少数民族玩偶雕塑',321.0,3.8
2,怨灵屋(万福广场店),,桂林市象山区凯风路90号桂林万福广场购物中心F1,'1、胆子很小的，朋友们非要我一起进去，说是非常锻练一个人的，也很好玩。有胆量的人要去，没胆量的人也是要去的。啊，真是怨灵，黑暗，恐怖，几个主题做的还是比较有创意的。',5.0,2.6
3,阳朔森林公园,4.1,阳朔县县城东北部,'1、阳朔森林公园是一处集美景、娱乐和运动于一体的公园，位于阳朔市区东北方向，占地面积约90平方公里。公园内的龙脊山、月亮山等景点都是非常知名的旅游景点，游客可以在这里欣赏到壮丽的山水美景。此外，公园内还有许多支流，流水潺潺，为游客提供了许多水上运动项目的选择。公园内还设有谷峰水上世界、阳朔乐园、泰国风情园等娱乐设施，适合游客尤其是家庭带着孩子来度过一个愉快的周末或假期。总之，阳朔森林公园是一处非常值得一去的景点，可以满足游客对自然风光和娱乐运动的需求。',85.0,3.7
4,光华铺阻击战旧址,,322国道东50米,'1、值得一看，去接受一次红色教育！',20.0,2.6
5,船岭竹海,,广西壮族自治区桂林市临桂区船岭小学东南侧约70米,,19.0,
6,北冲一组文化室,,广西壮族自治区桂林市秀峰区九华路18号,,81.0,
7,孩子王 (国贸益华城店),,广西壮族自治区桂林市七星区七星路26号国贸益华城3楼,,81.0,
8,兴坪燕豪航空基地,,桂林市阳朔县兴坪镇画山村委会前300米,,38.0,
9,英华足球训练场,,广西壮族自治区桂林市七星区普陀路52号,,,
